review_id,steam_id,playtime_forever,review_text,voted_up,bug_detected,timestamp_created
77383607,76561198338627782,5539,graficos simples mas gameplay incrivel n me arrependo de nenhuma das horas que passei jogando esse incrivel jogo,True,False,1602404779
77042472,76561198974238483,138,viciante,True,False,1601839552
76996230,76561198288687579,553,rfgv6,True,False,1601769582
76890015,76561198093354307,765,"divertido, bom pra passar o tempo",True,False,1601604944
76290810,76561198144972756,2011,muito genial bom demais incrivel,True,False,1600622567
76175700,76561199086612352,1295,muito bom e da para jogar no controle,True,False,1600443722
75676320,76561198314034991,843,pois bem essa deve ser minha unica analise seria aqui. esse jogo é perfeito.,True,False,1599615722
75435716,76561198426192030,269,simples e divertido mas o melhor de tudo: roda em qq pc,True,False,1599237476
74957597,76561199013824352,513,"muito legal e divertido, eu joguei sozinho e com amigos e funciona muito bem.",True,False,1598470592
74647559,76561199042375194,63,"eu não achava que esse jogo ia ser tão bom o quanto é, estou indicando para todo mundo porque vale muito a pena!",True,False,1597981460
74043157,76561198859177837,341,jogo muito bom e divertido,True,False,1596998437
73915295,76561198424396007,183,se tivesse multiplayer seria massa,True,False,1596807597
73872678,76561198415641703,1554,"mano do céu, que jogo do caralho. arrisco dizer que esse é o jogo indie brasileiro e o mais foda que eu já joguei na minha vida, parabéns aos envolvidos nessa beldade.",True,False,1596733274
72594235,76561198096330117,293,.,True,False,1594602393
72523979,76561198273444944,622,ok,True,False,1594503020
72310999,76561198965174617,915,"é muito bom, só isso mesmo... kkkk(ainda mais que ele é gratis, e tem graficos muito fofinhos, jogabilidade dahora, e varios personagens, e muitos modos e """"""finais"""""" pra você jogar denovo, denovo, denovo, e ficar viciado.)",True,False,1594229394
72179320,76561198988848367,272,atire colete itens e armas e se divirta,True,False,1594059821
72062898,76561198241918602,563,"divertidamente viciante, pena que pode acabar",True,False,1593918801
72060984,76561199013206068,52,melhor jogo para enfia mod ate o rabo kk,True,False,1593916194
72015921,76561198093800181,525,"era uma linda tarde de outono quando conheci esse jogo, meados de 2015. bem desafiador, sabe? pixel art dava uma nostálgica sensação de infância. o desenrolar da estória não era massante, tudo era muito bem justificado para você entrar metendo a porrada em geral, explodindo os bloquinhos e atirando como se estivesse com cheat de munição infinita, chato quando precisava parar para recarregar. tudo nas mil maravilhas nessa preciosidade. até que, resolvi mexer nas configurações do jogo, trocar umas teclas de atalho, preferência pessoal das minhas memórias. e irmão, esbarrei no menu de línguas de exibição do jogo... o jogo já estava em português-brasil, o que mais poderia encontrar lá? por essa eu nunca imaginaria, nem em mil anos. existe uma tradução para o [b]hue br[/b], e meua migo, é sensacional. não tô falando de meme zoado introduzido de qualquer forma não, estou tocando num ponto mais poético aqui. são falas muito bem destiladas de gírias brasileiras que nem eu manjava, e claro que tem muito palavrão aqui e ali. já não sei mais o nome das coisas no original, sério. só sei que adoro jogar com o [i]alemão[/i] usando a espingarda [i]punheteira[/i], e ser constantemente xingado pelo narrador por fazer um trabalho medíocre sendo um idiota na frente de um computador. tem como ser melhor?",True,False,1593864280
71876838,76561198140038869,61,gostei,True,False,1593695303
71598519,76561198129532435,153,jogo desafiante mas incrível um dos melhores jogos de graça que joguei mas apenas não gostei que não tem multiplayer online mas acho que vão colocar mais pra frente. recomendo,True,False,1593373716
71495781,76561198221534740,18,"inesperadamente muito bom, o jogo mostra ser muito divertido, tem um aspecto mobile, mas é relaxante e divertido.",True,False,1593270062
71442412,76561198336000955,1197,divertido,True,False,1593214242
71278855,76561198426610752,299,dahora,True,False,1593014014
71006290,76561198984328518,94,legal po po yo po po poyo,True,False,1592531455
70642147,76561198271964861,1236,"jogo mt bom mesmo, graficos gostosinhos dms, queria mt um multiplayer online, mas eles ja tao fazendo outro jogo desse online ent n tem mt o q reclamar sjkdkahs",True,False,1591901945
70154550,76561198425042819,473,"cara , é bom , mas falta sal:steamsalty:",True,False,1591031060
